dataset_name,algorithm_name,anchor_model_file_name,anchor_patch_set,anchor_patch_size,anchor_feature_set,stage07_test_f1,threshold_column,threshold_value,score_threshold,stride_divisor,stride,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,false_positives_per_image_iou_0_3,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,mean_candidates_per_image,mean_final_detections_per_image,raw_score_runtime_seconds,evaluation_runtime_seconds,selection_reason,param_combo_index,image_count,total_window_count,total_candidate_count,total_final_detection_count,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,group_rank
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,score_threshold,1.5,1.5,4,20,0.2,1.0,0.6403940886699507,0.5752212389380531,0.7222222222222222,0.6857142857142857,65,48,25,6.685714285714286,1.6142857142857143,484.4869318008423,0.21218323707580566,"Selected by highest detection_f1_iou_0_3, then lower FP/image, higher recall, lower final detections/image, lower runtime.",9,70,58870,468,113,68,45,22,0.6017699115044248,0.7555555555555555,0.6699507389162561,0.6428571428571429,0.3142857142857143,20,18,0.9,0.4,0.4725980791201559,0.35714285714285715,20,18,0.9,0.4,0.4839022153262785,1
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,predict_proba_score_threshold,0.6,0.6,4,20,0.2,1.0,0.2664298401420959,0.15856236786469344,0.8333333333333334,5.685714285714286,75,398,15,36.67142857142857,6.757142857142857,341.29131388664246,0.786020040512085,"Selected by highest detection_f1_iou_0_3, then lower FP/image, higher recall, lower final detections/image, lower runtime.",81,70,58870,2567,473,86,387,4,0.18181818181818182,0.9555555555555556,0.30550621669627,5.5285714285714285,0.05714285714285714,20,98,4.9,0.05,0.4117515276003152,0.21428571428571427,20,98,4.9,0.05,0.4696340055755967,1
dataset1_varroa,rbf_svm,d1_rbfsvm_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.9362826015186532,decision_function_score_threshold,0.75,0.75,4,20,0.2,1.0,0.40431266846361186,0.2669039145907473,0.8333333333333334,2.942857142857143,75,206,15,14.028571428571428,4.014285714285714,243.57814049720764,0.23774313926696777,"Selected by highest detection_f1_iou_0_3, then lower FP/image, higher recall, lower final detections/image, lower runtime.",49,70,58870,982,281,81,200,9,0.28825622775800713,0.9,0.4366576819407008,2.857142857142857,0.12857142857142856,20,54,2.7,0.1,0.45373151649697413,0.21428571428571427,20,54,2.7,0.1,0.48405449667940625,1
dataset2_honeybee,linear_svm,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,centered48_balanced,48,hog16_pca_hsv_lbp,0.8906955736224029,score_threshold,1.0,1.0,6,8,0.2,1.0,0.4576271186440678,0.4909090909090909,0.42857142857142855,0.45901639344262296,27,28,36,9.245901639344263,0.9016393442622951,32.207632303237915,0.27865123748779297,"Selected by highest detection_f1_iou_0_3, then lower FP/image, higher recall, lower final detections/image, lower runtime.",5,61,11895,564,55,36,19,27,0.6545454545454545,0.5714285714285714,0.6101694915254238,0.3114754098360656,0.4426229508196721,20,2,0.1,0.95,0.36815471464802046,0.5901639344262295,20,2,0.1,0.95,0.4163415815676825,1
dataset2_honeybee,random_forest,d2_rf_001__centered48_balanced__hsv_lbp_only.joblib,centered48_balanced,48,hsv_lbp_only,0.9066427289048474,predict_proba_score_threshold,0.6,0.6,4,12,0.3,1.0,0.2928870292887029,0.19886363636363635,0.5555555555555556,2.3114754098360657,35,141,28,14.229508196721312,2.8852459016393444,14.459940671920776,0.34314870834350586,"Selected by highest detection_f1_iou_0_3, then lower FP/image, higher recall, lower final detections/image, lower runtime.",83,61,6039,868,176,60,116,3,0.3409090909090909,0.9523809523809523,0.502092050209205,1.901639344262295,0.04918032786885246,20,18,0.9,0.55,0.30447907794465673,0.45901639344262296,20,18,0.9,0.55,0.4020032032070962,1
dataset2_honeybee,rbf_svm,d2_rbfsvm_002__centered48_balanced__hog16_hsv_lbp.joblib,centered48_balanced,48,hog16_hsv_lbp,0.9174800354924578,decision_function_score_threshold,0.75,0.75,4,12,0.2,1.0,0.4025157232704403,0.3333333333333333,0.5079365079365079,1.0491803278688525,32,64,31,8.278688524590164,1.5737704918032787,38.33234000205994,0.2175004482269287,"Selected by highest detection_f1_iou_0_3, then lower FP/image, higher recall, lower final detections/image, lower runtime.",49,61,6039,505,96,52,44,11,0.5416666666666666,0.8253968253968254,0.6540880503144654,0.7213114754098361,0.18032786885245902,20,7,0.35,0.75,0.33069393219788673,0.5081967213114754,20,7,0.35,0.75,0.42659753739694206,1
