dataset_name,algorithm_name,anchor_model_file_name,image_name,varroa_count,window_count,candidate_count,final_detection_count,threshold_column,threshold_value,score_threshold,stride_divisor,stride,cluster_iou_threshold,weighted_box_size_factor,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,precision_iou_0_1,recall_iou_0_1,f1_iou_0_1,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,precision_iou_0_3,recall_iou_0_3,f1_iou_0_3
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2249-19830-1_png.rf.4d31df82eead31968043806630dc876a.jpg,2,841,9,2,score_threshold,1.0,1.0,4,20,0.2,1.0,2,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2268-44820-1_png.rf.2611af456d1b4e6e5a933978c58ca5e2.jpg,3,841,18,4,score_threshold,1.0,1.0,4,20,0.2,1.0,2,2,1,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.5,0.6666666666666666,0.5714285714285714
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2269-45045-1_png.rf.46f13db40f92ba837ab5de74f5463d16.jpg,2,841,25,4,score_threshold,1.0,1.0,4,20,0.2,1.0,2,2,0,0.5,1.0,0.6666666666666666,2,2,0,0.5,1.0,0.6666666666666666
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2278-46890-1_png.rf.123912c258d086b705235026c8568789.jpg,1,841,22,3,score_threshold,1.0,1.0,4,20,0.2,1.0,1,2,0,0.3333333333333333,1.0,0.5,1,2,0,0.3333333333333333,1.0,0.5
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2285-47580-1_png.rf.b43848b5c50ae2defd5fc84d1505b504.jpg,2,841,12,3,score_threshold,1.0,1.0,4,20,0.2,1.0,2,1,0,0.6666666666666666,1.0,0.8,2,1,0,0.6666666666666666,1.0,0.8
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2289-47955-1_png.rf.b089e4e8f26d0a45acbba6f6b2a4708d.jpg,2,841,20,3,score_threshold,1.0,1.0,4,20,0.2,1.0,2,1,0,0.6666666666666666,1.0,0.8,2,1,0,0.6666666666666666,1.0,0.8
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2300-48975-1_png.rf.9e2ea482b4ad5928504c4e1a1ec68a24.jpg,2,841,22,3,score_threshold,1.0,1.0,4,20,0.2,1.0,2,1,0,0.6666666666666666,1.0,0.8,2,1,0,0.6666666666666666,1.0,0.8
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2305-49080-1_png.rf.63566faacc93b01731701e5dc65003f9.jpg,2,841,23,4,score_threshold,1.0,1.0,4,20,0.2,1.0,2,2,0,0.5,1.0,0.6666666666666666,2,2,0,0.5,1.0,0.6666666666666666
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2315-49635-1_png.rf.2c162d539dd2bf25ab1b255ea0582933.jpg,2,841,27,5,score_threshold,1.0,1.0,4,20,0.2,1.0,2,3,0,0.4,1.0,0.5714285714285714,2,3,0,0.4,1.0,0.5714285714285714
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2324-50115-1_png.rf.2faa0e434a2c8bda85379d3210304d0c.jpg,2,841,14,3,score_threshold,1.0,1.0,4,20,0.2,1.0,2,1,0,0.6666666666666666,1.0,0.8,2,1,0,0.6666666666666666,1.0,0.8
