dataset_name,algorithm_name,anchor_model_file_name,anchor_patch_set,anchor_patch_size,anchor_feature_set,stage07_test_f1,param_combo_index,threshold_column,threshold_value,score_threshold,stride_divisor,stride,cluster_iou_threshold,weighted_box_size_factor,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,raw_score_runtime_seconds,evaluation_runtime_seconds,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,group_rank
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,15,score_threshold,1.5,1.5,6,13,0.3,1.0,70,141750,1064,176,15.2,2.5142857142857142,1538.8063607215881,0.44475746154785156,72,104,18,0.4090909090909091,0.8,0.5413533834586466,1.4857142857142858,0.2571428571428571,20,29,1.45,0.3,0.48928130895843747,71,105,19,0.4034090909090909,0.7888888888888889,0.5338345864661654,1.5,0.2714285714285714,20,29,1.45,0.3,0.4953484413635364,11
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,19,score_threshold,2.0,2.0,4,20,0.3,1.0,70,58870,222,75,3.1714285714285713,1.0714285714285714,484.4869318008423,0.18671178817749023,46,29,44,0.6133333333333333,0.5111111111111111,0.5575757575757576,0.4142857142857143,0.6285714285714286,20,13,0.65,0.4,0.4726872067211413,44,31,46,0.5866666666666667,0.4888888888888889,0.5333333333333333,0.44285714285714284,0.6571428571428571,20,13,0.65,0.4,0.48841381754647484,12
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,1,score_threshold,1.0,1.0,4,20,0.2,1.0,70,58870,906,202,12.942857142857143,2.8857142857142857,484.4869318008423,0.26267576217651367,82,120,8,0.40594059405940597,0.9111111111111111,0.5616438356164384,1.7142857142857142,0.11428571428571428,20,40,2.0,0.3,0.4686972371414722,77,125,13,0.3811881188118812,0.8555555555555555,0.5273972602739726,1.7857142857142858,0.18571428571428572,20,40,2.0,0.3,0.4873349549365699,13
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,17,score_threshold,2.0,2.0,4,20,0.2,1.0,70,58870,222,66,3.1714285714285713,0.9428571428571428,484.4869318008423,0.18797898292541504,43,23,47,0.6515151515151515,0.4777777777777778,0.5512820512820513,0.32857142857142857,0.6714285714285714,20,13,0.65,0.4,0.4757038973626672,41,25,49,0.6212121212121212,0.45555555555555555,0.5256410256410257,0.35714285714285715,0.7,20,13,0.65,0.4,0.4887857440763141,14
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,20,score_threshold,2.0,2.0,4,20,0.3,1.25,70,58870,222,75,3.1714285714285713,1.0714285714285714,484.4869318008423,0.18712615966796875,47,28,43,0.6266666666666667,0.5222222222222223,0.5696969696969697,0.4,0.6142857142857143,20,13,0.65,0.4,0.41372617431795916,43,32,47,0.5733333333333334,0.4777777777777778,0.5212121212121212,0.45714285714285713,0.6714285714285714,20,13,0.65,0.4,0.43480067285948093,15
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,18,score_threshold,2.0,2.0,4,20,0.2,1.25,70,58870,222,66,3.1714285714285713,0.9428571428571428,484.4869318008423,0.22133684158325195,44,22,46,0.6666666666666666,0.4888888888888889,0.5641025641025641,0.3142857142857143,0.6571428571428571,20,13,0.65,0.4,0.41533100578078846,40,26,50,0.6060606060606061,0.4444444444444444,0.5128205128205128,0.37142857142857144,0.7142857142857143,20,13,0.65,0.4,0.4360045677261001,16
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,16,score_threshold,1.5,1.5,6,13,0.3,1.25,70,141750,1064,176,15.2,2.5142857142857142,1538.8063607215881,0.3890502452850342,73,103,17,0.4147727272727273,0.8111111111111111,0.5488721804511278,1.4714285714285715,0.24285714285714285,20,29,1.45,0.3,0.42478729779703495,66,110,24,0.375,0.7333333333333333,0.49624060150375937,1.5714285714285714,0.34285714285714286,20,29,1.45,0.3,0.445309019624958,17
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,2,score_threshold,1.0,1.0,4,20,0.2,1.25,70,58870,906,202,12.942857142857143,2.8857142857142857,484.4869318008423,0.2636396884918213,82,120,8,0.40594059405940597,0.9111111111111111,0.5616438356164384,1.7142857142857142,0.11428571428571428,20,40,2.0,0.3,0.40871204424179186,72,130,18,0.3564356435643564,0.8,0.4931506849315068,1.8571428571428572,0.2571428571428571,20,40,2.0,0.3,0.43775611040376805,18
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,5,score_threshold,1.0,1.0,6,13,0.2,1.0,70,141750,2148,242,30.685714285714287,3.4571428571428573,1538.8063607215881,0.5136227607727051,84,158,6,0.34710743801652894,0.9333333333333333,0.5060240963855421,2.257142857142857,0.08571428571428572,20,48,2.4,0.2,0.47487448217356776,78,164,12,0.32231404958677684,0.8666666666666667,0.46987951807228917,2.342857142857143,0.17142857142857143,20,48,2.4,0.2,0.496520837148712,19
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,3,score_threshold,1.0,1.0,4,20,0.3,1.0,70,58870,906,251,12.942857142857143,3.585714285714286,484.4869318008423,0.26204395294189453,83,168,7,0.33067729083665337,0.9222222222222223,0.4868035190615836,2.4,0.1,20,44,2.2,0.3,0.4804932581733921,79,172,11,0.3147410358565737,0.8777777777777778,0.4633431085043988,2.4571428571428573,0.15714285714285714,20,44,2.2,0.3,0.49655231742871997,20
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,6,score_threshold,1.0,1.0,6,13,0.2,1.25,70,141750,2148,242,30.685714285714287,3.4571428571428573,1538.8063607215881,0.5004806518554688,83,159,7,0.34297520661157027,0.9222222222222223,0.5,2.2714285714285714,0.1,20,48,2.4,0.2,0.4178228543194801,74,168,16,0.30578512396694213,0.8222222222222222,0.4457831325301205,2.4,0.22857142857142856,20,48,2.4,0.2,0.44212502538714876,21
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,4,score_threshold,1.0,1.0,4,20,0.3,1.25,70,58870,906,251,12.942857142857143,3.585714285714286,484.4869318008423,0.21484923362731934,84,167,6,0.3346613545816733,0.9333333333333333,0.49266862170087977,2.3857142857142857,0.08571428571428572,20,44,2.2,0.3,0.4136593897147226,75,176,15,0.29880478087649404,0.8333333333333334,0.4398826979472141,2.5142857142857142,0.21428571428571427,20,44,2.2,0.3,0.4408889449067672,22
