model_id,dataset_name,patch_set,feature_set,feature_file_path,feature_file_exists,row_count_manifest,train_row_count_manifest,valid_row_count_manifest,test_row_count_manifest,metadata_column_count_manifest,feature_column_count_manifest,total_column_count_manifest,nan_count_manifest,inf_count_manifest,status_manifest,validation_errors
d2_linsvm_001,dataset2_honeybee,centered48_balanced,hog8_hsv_lbp,data/features/dataset2_honeybee/centered48_balanced__hog8_hsv_lbp.parquet,True,20706,18422,1140,1144,28,942,970,0,0,OK,
d2_linsvm_002,dataset2_honeybee,centered48_balanced,hog8_hsv,data/features/dataset2_honeybee/centered48_balanced__hog8_hsv.parquet,True,20706,18422,1140,1144,28,932,960,0,0,OK,
d2_linsvm_003,dataset2_honeybee,centered48_balanced,hog8_only,data/features/dataset2_honeybee/centered48_balanced__hog8_only.parquet,True,20706,18422,1140,1144,28,900,928,0,0,OK,
d2_linsvm_004,dataset2_honeybee,centered48_balanced,hog16_hsv_lbp,data/features/dataset2_honeybee/centered48_balanced__hog16_hsv_lbp.parquet,True,20706,18422,1140,1144,28,186,214,0,0,OK,
d2_linsvm_005,dataset2_honeybee,centered48_balanced,hog16_hsv,data/features/dataset2_honeybee/centered48_balanced__hog16_hsv.parquet,True,20706,18422,1140,1144,28,176,204,0,0,OK,
d2_linsvm_006,dataset2_honeybee,centered48_balanced,hog16_only,data/features/dataset2_honeybee/centered48_balanced__hog16_only.parquet,True,20706,18422,1140,1144,28,144,172,0,0,OK,
d2_linsvm_007,dataset2_honeybee,centered48_balanced,hsv_lbp_only,data/features/dataset2_honeybee/centered48_balanced__hsv_lbp_only.parquet,True,20706,18422,1140,1144,28,42,70,0,0,OK,
d2_linsvm_008,dataset2_honeybee,centered48_balanced,hog8_pca_hsv_lbp,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_hsv_lbp.parquet,True,20706,18422,1140,1144,28,314,342,0,0,OK,
d2_linsvm_009,dataset2_honeybee,centered48_balanced,hog8_pca_hsv,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_hsv.parquet,True,20706,18422,1140,1144,28,304,332,0,0,OK,
d2_linsvm_010,dataset2_honeybee,centered48_balanced,hog8_pca_only,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_only.parquet,True,20706,18422,1140,1144,28,272,300,0,0,OK,
d2_linsvm_011,dataset2_honeybee,centered48_balanced,hog16_pca_hsv_lbp,data/features/dataset2_honeybee/centered48_balanced__hog16_pca_hsv_lbp.parquet,True,20706,18422,1140,1144,28,102,130,0,0,OK,
d2_linsvm_012,dataset2_honeybee,centered48_balanced,hog16_pca_hsv,data/features/dataset2_honeybee/centered48_balanced__hog16_pca_hsv.parquet,True,20706,18422,1140,1144,28,92,120,0,0,OK,
d2_linsvm_013,dataset2_honeybee,centered48_balanced,hog16_pca_only,data/features/dataset2_honeybee/centered48_balanced__hog16_pca_only.parquet,True,20706,18422,1140,1144,28,60,88,0,0,OK,
d2_linsvm_014,dataset2_honeybee,centered48_neg4x,hog8_hsv_lbp,data/features/dataset2_honeybee/centered48_neg4x__hog8_hsv_lbp.parquet,True,51765,46055,2850,2860,28,942,970,0,0,OK,
d2_linsvm_015,dataset2_honeybee,centered48_neg4x,hog8_hsv,data/features/dataset2_honeybee/centered48_neg4x__hog8_hsv.parquet,True,51765,46055,2850,2860,28,932,960,0,0,OK,
