model_id,dataset_name,dataset_short,algorithm_name,algorithm_short,model_index,patch_set,patch_size,ratio_variant,feature_set,feature_file_path,model_file_path,pipeline_steps,model_type,scaler_used,model_fit_split,valid_used_for_fit_or_selection,test_used_for_fit_or_selection,class_weight,hyperparameter_grid_name,search_strategy,cv_used,cv_folds,scoring,score_method,random_state,created_at,fit_status,fit_runtime_seconds,selected_params_json,best_cv_score,feature_count_actual,train_row_count_actual,train_positive_count_actual,train_negative_count_actual,error_message,notes
d2_linsvm_001,dataset2_honeybee,d2,linear_svm,linsvm,1,centered48_balanced,48,balanced,hog8_hsv_lbp,data/features/dataset2_honeybee/centered48_balanced__hog8_hsv_lbp.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_001__centered48_balanced__hog8_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:13:24,trained,96.72686290740967,"{""model__C"": 0.01}",0.8928780807969567,942,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_002,dataset2_honeybee,d2,linear_svm,linsvm,2,centered48_balanced,48,balanced,hog8_hsv,data/features/dataset2_honeybee/centered48_balanced__hog8_hsv.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_002__centered48_balanced__hog8_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:15:01,trained,104.85933756828308,"{""model__C"": 0.01}",0.8895711980726236,932,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_003,dataset2_honeybee,d2,linear_svm,linsvm,3,centered48_balanced,48,balanced,hog8_only,data/features/dataset2_honeybee/centered48_balanced__hog8_only.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_003__centered48_balanced__hog8_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:16:46,trained,150.79594922065735,"{""model__C"": 0.01}",0.7565371717898158,900,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_004,dataset2_honeybee,d2,linear_svm,linsvm,4,centered48_balanced,48,balanced,hog16_hsv_lbp,data/features/dataset2_honeybee/centered48_balanced__hog16_hsv_lbp.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:19:16,trained,15.368946313858032,"{""model__C"": 0.01}",0.9015721887949028,186,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_005,dataset2_honeybee,d2,linear_svm,linsvm,5,centered48_balanced,48,balanced,hog16_hsv,data/features/dataset2_honeybee/centered48_balanced__hog16_hsv.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_005__centered48_balanced__hog16_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:19:32,trained,15.363803625106812,"{""model__C"": 0.01}",0.896659371127441,176,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_006,dataset2_honeybee,d2,linear_svm,linsvm,6,centered48_balanced,48,balanced,hog16_only,data/features/dataset2_honeybee/centered48_balanced__hog16_only.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_006__centered48_balanced__hog16_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:19:47,trained,14.56803035736084,"{""model__C"": 0.01}",0.7401316542859444,144,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_007,dataset2_honeybee,d2,linear_svm,linsvm,7,centered48_balanced,48,balanced,hsv_lbp_only,data/features/dataset2_honeybee/centered48_balanced__hsv_lbp_only.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_007__centered48_balanced__hsv_lbp_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:20:02,trained,2.841787576675415,"{""model__C"": 0.01}",0.8985724067403144,42,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_008,dataset2_honeybee,d2,linear_svm,linsvm,8,centered48_balanced,48,balanced,hog8_pca_hsv_lbp,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_hsv_lbp.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_008__centered48_balanced__hog8_pca_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:20:05,trained,16.706234455108643,"{""model__C"": 0.01}",0.8983802073153653,314,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_009,dataset2_honeybee,d2,linear_svm,linsvm,9,centered48_balanced,48,balanced,hog8_pca_hsv,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_hsv.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_009__centered48_balanced__hog8_pca_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:20:22,trained,16.482287406921387,"{""model__C"": 0.01}",0.8940175514872712,304,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
d2_linsvm_010,dataset2_honeybee,d2,linear_svm,linsvm,10,centered48_balanced,48,balanced,hog8_pca_only,data/features/dataset2_honeybee/centered48_balanced__hog8_pca_only.parquet,outputs/models/dataset2_honeybee/00_linear_svm/models/d2_linsvm_010__centered48_balanced__hog8_pca_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:20:38,trained,9.148383617401123,"{""model__C"": 0.01}",0.7562168490552228,272,18422,9211,9211,,Trained LinearSVC with train split GridSearchCV only.
