metric,q1,q3,iqr,q005,q995,small_threshold,large_threshold
bbox_width_norm,0.10703125,0.15625,0.049218750000000006,0.056828125,0.24279687500000052,0,0.30390625000000004
bbox_height_norm,0.06171875,0.0859375,0.024218749999999997,0.0359375,0.1296875,0,0.15859374999999998
bbox_area_norm,0.006976318359375,0.012689208984374999,0.005712890624999999,0.002230224609375,0.030109167480468768,0,0.030109167480468768
bbox_width_px,68.5,100.0,31.5,36.370000000000005,155.39000000000033,0,194.5
bbox_height_px,39.5,55.0,15.5,23.0,83.0,0,101.5
bbox_area_px,2857.5,5197.5,2340.0,913.5,12332.715000000006,0,12332.715000000006
