dataset_name,split,zero_varroa_image_count,empty_label_file_count,invalid_yolo_row_image_count,accepted_negative_source_image_count
dataset1_varroa,train,5521,7,0,5514
dataset1_varroa,valid,1441,0,0,1441
dataset1_varroa,test,2190,1,0,2189
