dataset_name,patch_set,patch_size,ratio_variant,feature_set,hog_variant,is_pca,include_hsv,include_lbp,feature_file_path,file_format,row_count,metadata_column_count,feature_column_count,total_column_count,train_row_count,valid_row_count,test_row_count,positive_count,negative_count,nan_count,inf_count,pca_fit_split,pca_explained_variance_target,pca_n_components_actual,pca_explained_variance_actual,pca_artifact_path,status,action,file_size_mb,created_at,notes,manifest_path,features_dir,feature_file_name,resolved_feature_file_path,feature_file_exists,patch_set_order,feature_set_order,model_index,model_id,model_file_path,algorithm_name,algorithm_short,dataset_short,score_method,scaler_used,cv_folds,scoring,hyperparameter_grid_name,model_fit_split,valid_used_for_fit_or_selection,test_used_for_fit_or_selection
dataset1_varroa,centered80_balanced,80,balanced,hog16_pca_hsv_lbp,hog16,True,True,True,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv_lbp.parquet,parquet,10246,28,219,247,6064,1288,2894,5123,5123,0,0,train,0.95,177.0,0.9508655667304992,data/features/dataset1_varroa/pca_artifacts/centered80_balanced__hog16_pca.joblib,OK,created_or_overwritten,11.4045,2026-05-25 03:17:35,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_balanced__hog16_pca_hsv_lbp.parquet,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv_lbp.parquet,True,0,10,11,d1_linsvm_011,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_balanced,80,balanced,hog16_pca_hsv,hog16,True,True,False,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv.parquet,parquet,10246,28,209,237,6064,1288,2894,5123,5123,0,0,train,0.95,177.0,0.9508655667304992,data/features/dataset1_varroa/pca_artifacts/centered80_balanced__hog16_pca.joblib,OK,created_or_overwritten,11.2494,2026-05-25 03:17:35,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_balanced__hog16_pca_hsv.parquet,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv.parquet,True,0,11,12,d1_linsvm_012,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_012__centered80_balanced__hog16_pca_hsv.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_balanced,80,balanced,hog16_pca_only,hog16,True,False,False,data/features/dataset1_varroa/centered80_balanced__hog16_pca_only.parquet,parquet,10246,28,177,205,6064,1288,2894,5123,5123,0,0,train,0.95,177.0,0.9508655667304992,data/features/dataset1_varroa/pca_artifacts/centered80_balanced__hog16_pca.joblib,OK,created_or_overwritten,10.7131,2026-05-25 03:17:35,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_balanced__hog16_pca_only.parquet,data/features/dataset1_varroa/centered80_balanced__hog16_pca_only.parquet,True,0,12,13,d1_linsvm_013,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_013__centered80_balanced__hog16_pca_only.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog8_hsv_lbp,hog8,False,True,True,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv_lbp.parquet,parquet,25615,28,2958,2986,15160,3220,7235,5123,20492,0,0,,,,,,OK,created_or_overwritten,391.4092,2026-05-25 03:20:15,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog8_hsv_lbp.parquet,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv_lbp.parquet,True,1,0,14,d1_linsvm_014,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_014__centered80_neg4x__hog8_hsv_lbp.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog8_hsv,hog8,False,True,False,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv.parquet,parquet,25615,28,2948,2976,15160,3220,7235,5123,20492,0,0,,,,,,OK,created_or_overwritten,391.0558,2026-05-25 03:20:20,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog8_hsv.parquet,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv.parquet,True,1,1,15,d1_linsvm_015,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_015__centered80_neg4x__hog8_hsv.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog8_only,hog8,False,False,False,data/features/dataset1_varroa/centered80_neg4x__hog8_only.parquet,parquet,25615,28,2916,2944,15160,3220,7235,5123,20492,0,0,,,,,,OK,created_or_overwritten,389.8711,2026-05-25 03:20:25,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog8_only.parquet,data/features/dataset1_varroa/centered80_neg4x__hog8_only.parquet,True,1,2,16,d1_linsvm_016,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_016__centered80_neg4x__hog8_only.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog16_hsv_lbp,hog16,False,True,True,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv_lbp.parquet,parquet,25615,28,618,646,15160,3220,7235,5123,20492,0,0,,,,,,OK,created_or_overwritten,85.2736,2026-05-25 03:20:26,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog16_hsv_lbp.parquet,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv_lbp.parquet,True,1,3,17,d1_linsvm_017,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_017__centered80_neg4x__hog16_hsv_lbp.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog16_hsv,hog16,False,True,False,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv.parquet,parquet,25615,28,608,636,15160,3220,7235,5123,20492,0,0,,,,,,OK,created_or_overwritten,84.9201,2026-05-25 03:20:27,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog16_hsv.parquet,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv.parquet,True,1,4,18,d1_linsvm_018,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_018__centered80_neg4x__hog16_hsv.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog16_only,hog16,False,False,False,data/features/dataset1_varroa/centered80_neg4x__hog16_only.parquet,parquet,25615,28,576,604,15160,3220,7235,5123,20492,0,0,,,,,,OK,created_or_overwritten,83.7355,2026-05-25 03:20:28,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog16_only.parquet,data/features/dataset1_varroa/centered80_neg4x__hog16_only.parquet,True,1,5,19,d1_linsvm_019,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_019__centered80_neg4x__hog16_only.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hsv_lbp_only,,False,True,True,data/features/dataset1_varroa/centered80_neg4x__hsv_lbp_only.parquet,parquet,25615,28,42,70,15160,3220,7235,5123,20492,0,0,,,,,,OK,created_or_overwritten,3.0725,2026-05-25 03:20:28,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hsv_lbp_only.parquet,data/features/dataset1_varroa/centered80_neg4x__hsv_lbp_only.parquet,True,1,6,20,d1_linsvm_020,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_020__centered80_neg4x__hsv_lbp_only.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
