model_id,dataset_name,dataset_short,algorithm_name,algorithm_short,model_index,patch_set,patch_size,ratio_variant,feature_set,feature_file_path,model_file_path,pipeline_steps,model_type,scaler_used,model_fit_split,valid_used_for_fit_or_selection,test_used_for_fit_or_selection,class_weight,hyperparameter_grid_name,search_strategy,cv_used,cv_folds,scoring,score_method,random_state,created_at,fit_status,fit_runtime_seconds,selected_params_json,best_cv_score,feature_count_actual,train_row_count_actual,train_positive_count_actual,train_negative_count_actual,error_message,notes
d1_linsvm_011,dataset1_varroa,d1,linear_svm,linsvm,11,centered80_balanced,80,balanced,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:29:35,trained,4.412333965301514,"{""model__C"": 0.01}",0.9480410314999222,219,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_012,dataset1_varroa,d1,linear_svm,linsvm,12,centered80_balanced,80,balanced,hog16_pca_hsv,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_012__centered80_balanced__hog16_pca_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:29:39,trained,4.07605504989624,"{""model__C"": 0.01}",0.9468507568735047,209,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_013,dataset1_varroa,d1,linear_svm,linsvm,13,centered80_balanced,80,balanced,hog16_pca_only,data/features/dataset1_varroa/centered80_balanced__hog16_pca_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_013__centered80_balanced__hog16_pca_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:29:44,trained,3.4807848930358887,"{""model__C"": 0.01}",0.8338476935079243,177,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_014,dataset1_varroa,d1,linear_svm,linsvm,14,centered80_neg4x,80,neg4x,hog8_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_014__centered80_neg4x__hog8_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:29:47,trained,977.5314991474152,"{""model__C"": 0.01}",0.8476678506376519,2958,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_015,dataset1_varroa,d1,linear_svm,linsvm,15,centered80_neg4x,80,neg4x,hog8_hsv,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_015__centered80_neg4x__hog8_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 07:46:05,trained,1055.0460906028748,"{""model__C"": 0.01}",0.8447209189399428,2948,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_016,dataset1_varroa,d1,linear_svm,linsvm,16,centered80_neg4x,80,neg4x,hog8_only,data/features/dataset1_varroa/centered80_neg4x__hog8_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_016__centered80_neg4x__hog8_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:03:40,trained,1678.9444830417633,"{""model__C"": 0.01}",0.6118333007461149,2916,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_017,dataset1_varroa,d1,linear_svm,linsvm,17,centered80_neg4x,80,neg4x,hog16_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_017__centered80_neg4x__hog16_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:31:40,trained,73.82836270332336,"{""model__C"": 0.01}",0.8955650807145744,618,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_018,dataset1_varroa,d1,linear_svm,linsvm,18,centered80_neg4x,80,neg4x,hog16_hsv,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_018__centered80_neg4x__hog16_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:32:54,trained,72.26642632484436,"{""model__C"": 0.01}",0.8928122054863555,608,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_019,dataset1_varroa,d1,linear_svm,linsvm,19,centered80_neg4x,80,neg4x,hog16_only,data/features/dataset1_varroa/centered80_neg4x__hog16_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_019__centered80_neg4x__hog16_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:34:06,trained,55.11849594116211,"{""model__C"": 0.01}",0.674376606604313,576,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_020,dataset1_varroa,d1,linear_svm,linsvm,20,centered80_neg4x,80,neg4x,hsv_lbp_only,data/features/dataset1_varroa/centered80_neg4x__hsv_lbp_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_020__centered80_neg4x__hsv_lbp_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:35:01,trained,2.927339553833008,"{""model__C"": 1.0}",0.8829514851019384,42,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
