mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
197.55981874465942,11.44420619381371,1.3962926069895427,0.6012838223628316,,1,300,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.5954537054148956,0.7906117168730364,0.5739320920043811,0.6533325047641044,0.09746788024398868,3,1.0,1.0,1.0,1.0,0.0
326.23203627268475,21.341624799191226,1.7618056933085124,0.0353733027352995,,1,500,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.5932078257659653,0.792962962962963,0.5711554220158427,0.6524420702482571,0.09977029649748145,7,1.0,1.0,1.0,1.0,0.0
189.5779319604238,12.00722056784046,1.482783555984497,0.6076158311529903,,2,300,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",0.5967949898692209,0.7890828072781285,0.5726038667215138,0.652827221289621,0.09685209047680401,4,0.997960349188219,0.9973063423394009,0.9955867930696306,0.9969511615324168,0.001001018553361005
314.08004426956177,19.86042671014296,1.9964020252227783,0.35298391592605033,,2,500,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.5925789182204172,0.7883293068202937,0.5706051873198847,0.6505044707868651,0.09786887582595172,11,0.9980420949583945,0.99812382739212,0.9955867930696306,0.9972509051400484,0.0011771779205266685
178.93075116475424,11.192648032285419,1.3071807225545247,0.5504873142120327,,4,300,"{'model__max_depth': None, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",0.5891244239631337,0.7872261418492388,0.573086487980105,0.6498123512641591,0.09738657070277203,13,0.979841374752148,0.9725183211192538,0.9678494086290188,0.9734030348334736,0.004935507514711885
298.9155744711558,19.15578936823416,1.637802521387736,0.08794251231083303,,4,500,"{'model__max_depth': None, 'model__min_samples_leaf': 4, 'model__n_estimators': 500}",0.5867844653046199,0.7887794909901542,0.5714680292777241,0.6490106618574994,0.09902909505452236,15,0.9802626145841936,0.9729324560672941,0.9686173312245068,0.9739374672919983,0.004806987400523376
190.74796438217163,12.644429636796556,1.162883202234904,0.20704997252308785,20,1,300,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.5935672514619883,0.7914893617021277,0.5767289592142955,0.6539285241261371,0.09751280274032642,1,0.9995930658419467,0.999755759993487,0.9992670412900073,0.9995386223751469,0.00020319868944884158
317.6405025323232,20.10384838304457,2.8127663930257163,0.3252749461025031,20,1,500,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.5904936014625228,0.7913349379744492,0.573184052430366,0.6516708639557793,0.09900991634021154,9,0.9995930658419467,0.9996743731683491,0.999430013842521,0.9995658176176055,0.00010160288489047947
184.68617073694864,11.469023878555902,1.9438716570536296,0.02228455805355288,20,2,300,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",0.5953300239014525,0.7896884272997032,0.5720559978040077,0.6523581496683878,0.09757091075526135,8,0.9967405475880052,0.9961648306813545,0.9922188549430748,0.9950414110708116,0.0020096400689043597
309.1107051372528,20.26274069918234,1.7853705088297527,0.1551486513028198,20,2,500,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.592388306674021,0.7922365988909427,0.5699780461031834,0.6515343172227156,0.09991130731703002,10,0.9970660146699266,0.9962461237147054,0.9926314065826101,0.9953145149890807,0.0019265441140841537
177.26294247309366,11.17530893911799,1.2291115919748943,0.26395323354954037,20,4,300,"{'model__max_depth': 20, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",0.5895741556534508,0.783934548159167,0.5693673695893452,0.6476253578006542,0.09673753178198231,18,0.9795176742649488,0.9717758721172258,0.9674465073682458,0.9729133512501402,0.0049932395393089
295.7202826340993,17.23694108231849,1.8985988299051921,0.34617909810446046,20,4,500,"{'model__max_depth': 20, 'model__min_samples_leaf': 4, 'model__n_estimators': 500}",0.5897247706422019,0.7861915367483296,0.5674172921879344,0.6477778665261552,0.0982960290043178,17,0.9794435730207215,0.9720326285999668,0.9670970428987922,0.9728577481731602,0.005074105388833066
196.68868009249368,12.79777853024022,1.3325099150339763,0.36047835410146944,40,1,300,"{'model__max_depth': 40, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.5954537054148956,0.7906117168730364,0.5748322607147748,0.6536325610009023,0.09722406373239723,2,1.0,1.0,1.0,1.0,0.0
325.15822863578796,21.27238110769876,2.3262197971343994,0.7566230964809022,40,1,500,"{'model__max_depth': 40, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.5932078257659653,0.7931098351546583,0.5713114754098361,0.6525430454434865,0.09979689145796132,6,1.0,1.0,1.0,1.0,0.0
188.60989634195963,12.068316412588864,0.9381278355916342,0.050896385365692465,40,2,300,"{'model__max_depth': 40, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",0.5967949898692209,0.7887794909901542,0.5726038667215138,0.6527261158602963,0.09670985221426086,5,0.997960349188219,0.9973063423394009,0.9955867930696306,0.9969511615324168,0.001001018553361005
313.70777948697406,20.178736909578202,1.7852637767791748,0.3221227936759069,40,2,500,"{'model__max_depth': 40, 'model__min_samples_leaf': 2, 'model__n_estimators': 500}",0.5925789182204172,0.7881040892193308,0.5706051873198847,0.6504293982532109,0.09776315465410855,12,0.9980420949583945,0.99812382739212,0.9955867930696306,0.9972509051400484,0.0011771779205266685
178.9409023920695,11.023586281341215,1.390833854675293,0.2648512121515189,40,4,300,"{'model__max_depth': 40, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",0.5891244239631337,0.7872261418492388,0.573086487980105,0.6498123512641591,0.09738657070277203,13,0.979841374752148,0.9725183211192538,0.9678494086290188,0.9734030348334736,0.004935507514711885
274.40936120351154,17.833526485899124,1.7651418050130208,0.6975695437694814,40,4,500,"{'model__max_depth': 40, 'model__min_samples_leaf': 4, 'model__n_estimators': 500}",0.5867844653046199,0.7887794909901542,0.5714680292777241,0.6490106618574994,0.09902909505452236,15,0.9802626145841936,0.9729324560672941,0.9686173312245068,0.9739374672919983,0.004806987400523376
