mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
49.117213090260826,4.924051896944092,36.78647327423096,2.923018164131688,0.01,scale,"{'model__C': 0.01, 'model__gamma': 'scale'}",0.7175423625502865,0.8542394410924102,0.8221460068593827,0.7979759368340265,0.05836475554225544,10,0.8606860541010951,0.8462243962091104,0.8803432909721076,0.8624179137607711,0.013982709522185596
49.55350430806478,1.8201740796994055,43.85648155212402,3.000161514937089,0.01,0.01,"{'model__C': 0.01, 'model__gamma': 0.01}",0.7114318855522619,0.7489393100903893,0.6953931691818904,0.7185881216081805,0.02243815333183231,12,0.8435723740559059,0.788654444828779,0.7927422371866817,0.8083230186904555,0.02498086336712145
46.053790171941124,2.1827376000198515,39.65531094868978,4.317298297661952,0.01,0.001,"{'model__C': 0.01, 'model__gamma': 0.001}",0.6966292134831461,0.8314357123021383,0.8122605363984674,0.7801084873945839,0.05954557762655332,11,0.8417564208782105,0.7961997756812034,0.8648607401755055,0.834272312244973,0.028525905452734573
21.901303211847942,1.6935309486957668,20.08759133021037,0.884555962046269,0.1,scale,"{'model__C': 0.1, 'model__gamma': 'scale'}",0.7948294002705546,0.9122521936951576,0.8416386426169368,0.8495734121942163,0.04826488392259698,4,0.921288712068024,0.9005586592178771,0.935124508519004,0.918990626601635,0.014204703025997497
28.203099091847736,1.4901004519627234,25.24122412999471,3.2140074024549317,0.1,0.01,"{'model__C': 0.1, 'model__gamma': 0.01}",0.7966532197818617,0.9020448548812665,0.8426768886759304,0.8471249877796861,0.043140764762647645,6,0.9238132601020008,0.904562308560374,0.9357798165137615,0.9213851283920454,0.012859628517330798
28.934082825978596,2.3995136047589365,24.960078477859497,2.362514604989288,0.1,0.001,"{'model__C': 0.1, 'model__gamma': 0.001}",0.764649898028552,0.8904922238255571,0.8063182757602598,0.8204867992047896,0.0523426724126599,9,0.8910108168593809,0.8754198234788721,0.9126719296817775,0.8930341900066768,0.0152752606809842
15.274560372034708,1.7210082221770584,13.828871647516886,1.934827164894523,1.0,scale,"{'model__C': 1.0, 'model__gamma': 'scale'}",0.796910943148209,0.9293487087867468,0.8468604125884656,0.8577066881744738,0.05460873991342286,2,0.9655948553054663,0.956052801030264,0.9708326543913964,0.9641601035757089,0.00611854561905445
20.14383403460185,2.3167818991656435,18.276451508204143,2.9087849844294333,1.0,0.01,"{'model__C': 1.0, 'model__gamma': 0.01}",0.8044914134742405,0.9291056910569105,0.856136050252796,0.8632443849279823,0.05112126668196925,1,0.9852121212121212,0.978610057308903,0.987869413009851,0.9838971971769584,0.00389278699758548
15.287635485331217,2.2039187161947873,14.49395720163981,1.13952500897718,1.0,0.001,"{'model__C': 1.0, 'model__gamma': 0.001}",0.7935299714557564,0.9224529526281635,0.8209285187914517,0.845637147625124,0.055456715990793756,7,0.9309495431068733,0.90526484237478,0.9356103938552051,0.9239415931122861,0.013342829435262412
20.402828613917034,5.314427079321939,13.317620515823364,2.6698742714590913,10.0,scale,"{'model__C': 10.0, 'model__gamma': 'scale'}",0.7721888412017167,0.9214180689429832,0.8415796640944168,0.8450621914130388,0.06097232487206746,8,0.9996743731683491,0.999185535103437,0.9997556804300024,0.9995385295672629,0.00025180221910347606
61.24765666325887,7.957355332174479,19.8203448454539,1.936129108046063,10.0,0.01,"{'model__C': 10.0, 'model__gamma': 0.01}",0.78401912241762,0.9281858334696549,0.8540291634689179,0.855411373118731,0.0588639279555103,3,1.0,1.0,1.0,1.0,0.0
13.491008520126343,2.8561218877820234,8.16962480545044,2.9475009325049513,10.0,0.001,"{'model__C': 10.0, 'model__gamma': 0.001}",0.7861175689139821,0.9260827092152394,0.8308834446919079,0.8476945742737098,0.058363919695017974,5,0.9546223905859595,0.9408636803093781,0.9587813620071685,0.9514224776341687,0.007656823167611679
