rank_iou_0_3,phase,dataset_name,algorithm_name,model_file_name,model_path,patch_set,patch_size,feature_set,threshold_column,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,postprocess_method,status,raw_score_reuse_mode,raw_scoring_total_runtime_seconds,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,total_runtime_seconds,mean_runtime_seconds_per_image,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_2,fp_iou_0_2,fn_iou_0_2,detection_precision_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,false_negatives_per_image_iou_0_2,negative_image_count_iou_0_2,negative_total_fp_iou_0_2,negative_fp_per_negative_image_iou_0_2,negative_accuracy_iou_0_2,mean_matched_iou_iou_0_2,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,postprocess_total_runtime_seconds,estimated_total_runtime_seconds_with_raw_scoring,combo_wall_runtime_seconds
11,phase2_postprocess_sweep,dataset1_varroa,linear_svm,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,score_threshold,1.4,4,0.25,1.0,weighted_center,OK,per_model_per_stride_in_memory,659.5952928066254,500,420500,976,358,1.952,0.716,0.0236427783966064,4.7285556793212894e-05,165,193,143,0.4608938547486033,0.5357142857142857,0.4954954954954954,0.386,0.286,250,107,0.428,0.708,0.5108048707637248,164,194,144,0.4581005586592179,0.5324675324675324,0.4924924924924925,0.388,0.288,250,107,0.428,0.708,0.5128919210723859,163,195,145,0.4553072625698324,0.5292207792207793,0.4894894894894894,0.39,0.29,250,107,0.428,0.708,0.5182940547644406,0.0236427783966064,659.618935585022,0.0266451835632324
12,phase2_postprocess_sweep,dataset1_varroa,linear_svm,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,score_threshold,1.4,4,0.3,1.0,weighted_center,OK,per_model_per_stride_in_memory,659.5952928066254,500,420500,976,358,1.952,0.716,0.0201122760772705,4.0224552154541015e-05,165,193,143,0.4608938547486033,0.5357142857142857,0.4954954954954954,0.386,0.286,250,107,0.428,0.708,0.5108048707637248,164,194,144,0.4581005586592179,0.5324675324675324,0.4924924924924925,0.388,0.288,250,107,0.428,0.708,0.5128919210723859,163,195,145,0.4553072625698324,0.5292207792207793,0.4894894894894894,0.39,0.29,250,107,0.428,0.708,0.5182940547644406,0.0201122760772705,659.6154050827026,0.0281999111175537
13,phase2_postprocess_sweep,dataset1_varroa,linear_svm,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,score_threshold,1.4,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,659.5952928066254,500,420500,976,319,1.952,0.638,0.0254552364349365,5.0910472869873045e-05,155,164,153,0.4858934169278996,0.5032467532467533,0.4944178628389155,0.328,0.306,250,95,0.38,0.708,0.5094988044272734,154,165,154,0.4827586206896552,0.5,0.4912280701754385,0.33,0.308,250,95,0.38,0.708,0.5117128965330133,153,166,155,0.4796238244514106,0.4967532467532468,0.4880382775119617,0.332,0.31,250,95,0.38,0.708,0.5150113559838286,0.0254552364349365,659.6207480430603,0.0274591445922851
14,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,501,2.792,1.002,0.0259466171264648,5.189323425292969e-05,206,295,102,0.4111776447105788,0.6688311688311688,0.5092707045735476,0.59,0.204,250,149,0.596,0.668,0.4372602841222809,204,297,104,0.4071856287425149,0.6623376623376623,0.5043263288009888,0.594,0.208,250,149,0.596,0.668,0.4412211770802997,196,305,112,0.3912175648702595,0.6363636363636364,0.484548825710754,0.61,0.224,250,149,0.596,0.668,0.4538178180937033,0.0259466171264648,797.0576903820038,0.0289418697357177
15,phase2_postprocess_sweep,dataset1_varroa,rbf_svm,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm/d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,decision_function_score_threshold,1.2,4,0.3,1.25,weighted_center,OK,per_model_per_stride_in_memory,797.0317437648773,500,420500,1396,501,2.792,1.002,0.0241389274597167,4.827785491943359e-05,206,295,102,0.4111776447105788,0.6688311688311688,0.5092707045735476,0.59,0.204,250,149,0.596,0.668,0.4372602841222809,204,297,104,0.4071856287425149,0.6623376623376623,0.5043263288009888,0.594,0.208,250,149,0.596,0.668,0.4412211770802997,196,305,112,0.3912175648702595,0.6363636363636364,0.484548825710754,0.61,0.224,250,149,0.596,0.668,0.4538178180937033,0.0241389274597167,797.055882692337,0.0317318439483642
16,phase2_postprocess_sweep,dataset1_varroa,linear_svm,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,score_threshold,1.4,4,0.25,1.25,weighted_center,OK,per_model_per_stride_in_memory,659.5952928066254,500,420500,976,358,1.952,0.716,0.0263855457305908,5.277109146118164e-05,166,192,142,0.4636871508379888,0.538961038961039,0.4984984984984985,0.384,0.284,250,107,0.428,0.708,0.4434474673936815,163,195,145,0.4553072625698324,0.5292207792207793,0.4894894894894894,0.39,0.29,250,107,0.428,0.708,0.4487491064186915,160,198,148,0.4469273743016759,0.5194805194805194,0.4804804804804804,0.396,0.296,250,107,0.428,0.708,0.4551511762351006,0.0263855457305908,659.621678352356,0.0296103954315185
17,phase2_postprocess_sweep,dataset1_varroa,linear_svm,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,score_threshold,1.4,4,0.3,1.25,weighted_center,OK,per_model_per_stride_in_memory,659.5952928066254,500,420500,976,358,1.952,0.716,0.0259854793548584,5.19709587097168e-05,166,192,142,0.4636871508379888,0.538961038961039,0.4984984984984985,0.384,0.284,250,107,0.428,0.708,0.4434474673936815,163,195,145,0.4553072625698324,0.5292207792207793,0.4894894894894894,0.39,0.29,250,107,0.428,0.708,0.4487491064186915,160,198,148,0.4469273743016759,0.5194805194805194,0.4804804804804804,0.396,0.296,250,107,0.428,0.708,0.4551511762351006,0.0259854793548584,659.6212782859802,0.0289900302886962
18,phase2_postprocess_sweep,dataset1_varroa,linear_svm,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,centered80_neg4x,80,hog16_pca_hsv_lbp,score_threshold,1.4,4,0.2,1.25,weighted_center,OK,per_model_per_stride_in_memory,659.5952928066254,500,420500,976,319,1.952,0.638,0.0194673538208007,3.893470764160156e-05,156,163,152,0.4890282131661442,0.5064935064935064,0.4976076555023923,0.326,0.304,250,95,0.38,0.708,0.4446339811253221,154,165,154,0.4827586206896552,0.5,0.4912280701754385,0.33,0.308,250,95,0.38,0.708,0.4487391660323328,150,169,158,0.4702194357366771,0.487012987012987,0.4784688995215311,0.338,0.316,250,95,0.38,0.708,0.4549217570167366,0.0194673538208007,659.6147601604462,0.0263144969940185
19,phase2_postprocess_sweep,dataset1_varroa,linear_svm,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,score_threshold,2.2,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,673.3372113704681,500,420500,1099,398,2.198,0.796,0.0267624855041503,5.352497100830078e-05,168,230,140,0.4221105527638191,0.5454545454545454,0.4759206798866855,0.46,0.28,250,138,0.552,0.604,0.4977759156135886,167,231,141,0.4195979899497487,0.5422077922077922,0.4730878186968838,0.462,0.282,250,138,0.552,0.604,0.4996687292985259,163,235,145,0.4095477386934673,0.5292207792207793,0.461756373937677,0.47,0.29,250,138,0.552,0.604,0.5084190077396894,0.0267624855041503,673.3639738559723,0.0301790237426757
20,phase2_postprocess_sweep,dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm/d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,score_threshold,1.8,4,0.2,1.0,weighted_center,OK,per_model_per_stride_in_memory,653.8636319637299,500,420500,1733,510,3.466,1.02,0.0392177104949951,7.843542098999024e-05,195,315,113,0.3823529411764705,0.6331168831168831,0.4767726161369193,0.63,0.226,250,184,0.736,0.548,0.4999219958531166,193,317,115,0.3784313725490196,0.6266233766233766,0.4718826405867971,0.634,0.23,250,184,0.736,0.548,0.5033713559883874,188,322,120,0.3686274509803922,0.6103896103896104,0.4596577017114914,0.644,0.24,250,184,0.736,0.548,0.5124316214067556,0.0392177104949951,653.9028496742249,0.0416550636291503
